label,text
spam,"Your USPS package has been held at our facility due to an unpaid customs fee of $3.47. Failure to pay within 24 hours will result in the package being returned to sender. Confirm payment here: usps-delivery-confirm.net/pay"
spam,"FedEx: We attempted delivery today but no one was available. Reschedule your delivery at fedex-rescheduled.com/track before 11:59PM or your package will be sent back."
spam,"DHL NOTICE: Your shipment (ID: DHL928471) requires immediate customs clearance. A fee of $6.20 must be paid to release your package: dhl-customs-clearance.net"
spam,"Your package from UPS could not be delivered. Click here to update your address and confirm redelivery: ups-redelivery-portal.com/confirm. This link expires in 2 hours."
spam,"USPS ALERT: Package returned to sorting facility. Reason: incomplete address. Update delivery info now to avoid return to sender → usps-address-update.info/fix"
spam,"We tried delivering your FedEx package today (Tracking #FX004829371). Please select a new delivery window at fedex-missed-pkg.com or call 1-888-302-4471 within 48 hrs."
spam,"Hello! Your DHL shipment is WAITING at customs. A small clearance fee of $2.99 is required. Pay securely at: dhl-release-package.com/customs. Do not ignore this message."
spam,"UPS: Delivery attempt FAILED. Your package will be held for 3 days before being returned. Reschedule free of charge at ups-pkg-hold.net/reschedule"
spam,"USPS: We were unable to deliver your parcel due to an insufficient address. Please verify your details within 12 hours at usps-parcel-verify.com or your package will be destroyed."
spam,"Final notice from FedEx — your package (#FX7723910) has been sitting at our warehouse for 5 days. To avoid a $15.00 storage fee, arrange pickup or redelivery at fedex-final-notice.net/claim"
spam,"DHL Express: A package addressed to you has arrived at customs. To release it, a duty fee of $4.75 is required. Please pay at: dhl-dutyrelease.com/pay?id=83920 — offer expires TODAY."
spam,"Your UPS package is on hold. We detected an issue with your delivery address. Confirm your info here: ups-address-portal.com/update — failure to do so within 24hrs will result in package return."
spam,"📦 USPS Notification: Your parcel #9400118901 is being held at a local facility. An outstanding balance of $1.30 must be settled before we can proceed with delivery. Visit: usps-balance-due.net"
spam,"FedEx Alert: Our driver was unable to access your property for delivery. Please respond with your preferred delivery time or visit fedex-reschedule-now.com. Reply STOP to opt out."
spam,"UPS IMPORTANT NOTICE: Your international shipment has been flagged by customs. A mandatory inspection fee of $8.50 is due immediately. Pay at ups-customs-flag.com/release or call 1-877-540-2293."
spam,"Your package is waiting! USPS attempted delivery 2x with no success. Your item will be auctioned if not claimed within 48 hours. Act now: usps-unclaimed-pkg.com/rescue"
spam,"DHL: Parcel ID #DH77261038 could not be cleared through customs. Required fee: $3.25. Click to pay and release your shipment before it is returned to origin: dhl-pkg-payment.net/id=77261038"
spam,"FedEx package alert: We have a delivery exception on your order. The recipient address is incomplete. Please update at fedex-exception-resolve.com within the next 24 HOURS to avoid cancellation."
spam,"URGENT — UPS could not complete delivery of your package. Your item is currently held at a regional facility. To reschedule at no cost visit: ups-deliveryfail.net/reschedule?ref=9920"
spam,"Hi, this is an automated message from USPS. Your package requires a $2.15 redelivery fee due to a failed first attempt. Pay now at usps-redeliver-fee.com to schedule your next delivery window."
spam,"DHL CUSTOMS HOLD ⚠️ Shipment #DHL002938471 has been stopped at the border. Clearance fee of $5.60 due within 24 hours or item will be confiscated. Pay: dhl-border-clearance.com/pay"
spam,"FedEx: This is your FINAL delivery attempt. We could not leave the package unattended. Claim or reschedule by midnight tonight at fedex-last-attempt.com or a $12.00 return shipping charge will apply."
spam,"Your UPS delivery was returned to our facility because of an unverified address on file. To release the package and arrange redelivery, visit ups-verify-address.net. Ref #UPS8847201."
spam,"USPS: Attention required. Your package is being held at customs pending a small processing fee of $1.99. This fee must be paid within 48hrs to prevent package from being sent back. usps-processing-hold.com/pay"
spam,"DHL: We attempted to deliver your parcel but could not complete delivery. Please contact us at 1-855-274-9031 or visit dhl-redelivery-schedule.com to book a new delivery time. Your package is held for 72 hours only."
spam,"CHASE ALERT: Unusual sign-in detected on your account. Your access has been temporarily LIMITED. Verify your identity immediately: chase-secure-verify.com/login"
spam,"Your Bank of America account has been SUSPENDED due to suspicious activity. To restore access call 1-888-402-7163 or visit bofa-accountreview.net within 24 hours."
spam,"PayPal: We've placed a hold on your account. An unauthorized payment of $847.52 was attempted. Confirm or deny this charge at paypal-resolution-center.com"
spam,"Zelle: A transfer of $1,200.00 is PENDING to an unrecognized device. If this wasn't you, cancel now: zelle-transferalert.com/cancel"
spam,"WellsFargo FRAUD ALERT — Your debit card ending in 4471 was used at a merchant in Miami FL for $312.89. Not you? Call us: 1-877-559-0248"
spam,"CHASE: Your account has been flagged for IMMEDIATE review. Failure to verify within 2 hours will result in permanent suspension. Go to: chase-id-confirm.net"
spam,"Bank of America: We detected a login from an unknown device in Phoenix, AZ. If this wasn't you please secure your account at bofa-securelogin.org/verify"
spam,"Your PayPal account is LIMITED. We noticed multiple failed login attempts. Please confirm your details here to avoid closure: pp-accountlimit.com/restore"
spam,"URGENT — WellsFargo: A wire transfer of $3,750.00 has been INITIATED from your checking account. Stop this transaction: wf-fraudcenter.net/stop"
spam,"Zelle Alert: Someone requested $500.00 from your linked bank account. Approve or deny within 15 mins: zelle-confirm.net/req8812"
spam,"CHASE BANK: Your card ending in 6203 has been TEMPORARILY BLOCKED. An unrecognized transaction of $94.17 triggered our fraud system. Verify: chase-cardblock.com"
spam,"BofA Security Notice: Your online banking password was changed from a new device. If you did NOT make this change call 1-800-723-4419 immediately."
spam,"PayPal: Hello, your account shows a charge of $1,049.99 from CryptoXchange LLC. If unauthorized, dispute now at: paypal-dispute-center.org/claim"
spam,"Zelle: Your bank has flagged an outgoing payment of $275.00 as suspicious. This transfer will process in 10 minutes unless you cancel: zelle-secure-id.com"
spam,"WELLS FARGO ALERT: We have SUSPENDED online access to your account due to 3 failed verification attempts. Restore access: wellsfargo-id-check.net"
spam,"Chase: A NEW PAYEE was added to your account and a payment of $2,500.00 is scheduled for today. Not you? Act now: chase-payee-alert.com/review"
spam,"BANK OF AMERICA: Your account balance fell below our fraud threshold during an atypical transaction. Please review and confirm: bofa-txnalert.com/verify"
spam,"PayPal Security Team: Your withdrawal of $632.40 to an external bank is under review. Confirm your identity to release funds: paypal-withdraw-verify.com"
spam,"WF Alert: Debit card ending 8819 DECLINED due to suspected fraud in Seattle WA. Unlock your card by verifying at: wf-cardunlock.net or call 1-866-311-9027"
spam,"Chase Bank: FINAL NOTICE — Your account verification is overdue. Your account will be CLOSED in 48 hours if you do not respond: chase-finalnotice.net/verify"
spam,"Zelle: An unusual $899.00 payment was sent from your account at 3:42 AM. If fraudulent, secure your account immediately at zelle-fraud-review.com"
spam,"BOFA: We've FROZEN your account following suspicious wire activity totaling $5,200.00. Visit bofa-freeze-appeal.com or call 1-888-601-2234 to appeal."
spam,"PayPal: Your account has been accessed from Russia (IP 185.220.xx.xx). We've temporarily limited withdrawals. Verify your location: paypal-geocheck.net/confirm"
